A;POLJOPRIVREDA, ŠUMARSTVO I RIBARSTVO
2752;Proizvodnja neelektričnih aparata za kućanstvo
27520;Proizvodnja neelektričnih aparata za kućanstvo
279;Proizvodnja ostale električne opreme
2790;Proizvodnja ostale električne opreme
27900;Proizvodnja ostale električne opreme
28;Proizvodnja strojeva i uređaja, d. n.
281;Proizvodnja strojeva za opće namjene
2811;Proizvodnja motora i turbina, osim motora za zrakoplove i motorna vozila
28110;Proizvodnja motora i turbina, osim motora za zrakoplove i motorna vozila
2812;Proizvodnja hidrauličnih pogonskih uređaja
28120;Proizvodnja hidrauličnih pogonskih uređaja
2813;Proizvodnja ostalih crpki i kompresora
28130;Proizvodnja ostalih crpki i kompresora
2814;Proizvodnja ostalih slavina i ventila
28140;Proizvodnja ostalih slavina i ventila
2815;Proizvodnja ležajeva, prijenosnika te prijenosnih i pogonskih elemenata
28150;Proizvodnja ležajeva, prijenosnika te prijenosnih i pogonskih elemenata
282;Proizvodnja ostalih strojeva za opće namjene
2821;Proizvodnja peći, kamina  i trajne opreme za grijanje kućanstva
28210;Proizvodnja peći, kamina  i trajne opreme za grijanje kućanstva
2822;Proizvodnja uređaja za dizanje i prenošenje 
28220;Proizvodnja uređaja za dizanje i prenošenje 
2823;Proizvodnja uredskih strojeva i opreme, osim proizvodnje računala i periferne opreme
28230;Proizvodnja uredskih strojeva i opreme, osim proizvodnje računala i periferne opreme
2824;Proizvodnja mehaniziranog ručnog alata
28240;Proizvodnja mehaniziranog ručnog alata
2825;Proizvodnja rashladne i ventilacijske opreme, osim za kućanstva
28250;Proizvodnja rashladne i ventilacijske opreme, osim za kućanstva
2829;Proizvodnja ostalih strojeva za opće namjene, d. n.
28290;Proizvodnja ostalih strojeva za opće namjene, d. n.
283;Proizvodnja strojeva za poljoprivredu i šumarstvo
2830;Proizvodnja strojeva za poljoprivredu i šumarstvo
28300;Proizvodnja strojeva za poljoprivredu i šumarstvo
284;Proizvodnja strojeva za oblikovanje metala i alatnih strojeva
2841;Proizvodnja strojeva za oblikovanje metala i alatnih strojeva za obradu metala
28410;Proizvodnja strojeva za oblikovanje metala i alatnih strojeva za obradu metala
2842;Proizvodnja ostalih alatnih strojeva
28420;Proizvodnja ostalih alatnih strojeva
289;Proizvodnja ostalih strojeva za posebne namjene
2891;Proizvodnja strojeva za metalurgiju
28910;Proizvodnja strojeva za metalurgiju
2892;Proizvodnja strojeva za rudnike, kamenolome i građevinarstvo
28920;Proizvodnja strojeva za rudnike, kamenolome i građevinarstvo
2893;Proizvodnja strojeva za industriju hrane, pića i duhana
28930;Proizvodnja strojeva za industriju hrane, pića i duhana
2894;Proizvodnja strojeva za industriju tekstila, odjeće i kože
28940;Proizvodnja strojeva za industriju tekstila, odjeće i kože
2895;Proizvodnja strojeva za industriju papira i kartona
28950;Proizvodnja strojeva za industriju papira i kartona
2896;Proizvodnja strojeva za plastiku i gumu
28960;Proizvodnja strojeva za plastiku i gumu
2897;Proizvodnja strojeva za aditivnu proizvodnju
28970;Proizvodnja strojeva za aditivnu proizvodnju
2899;Proizvodnja ostalih strojeva za posebne namjene, d. n.
28990;Proizvodnja ostalih strojeva za posebne namjene, d. n.
29;Proizvodnja motornih vozila, prikolica i poluprikolica
291;Proizvodnja motornih vozila
2910;Proizvodnja motornih vozila
29100;Proizvodnja motornih vozila
292;"Proizvodnja karoserija za motorna vozila; proizvodnja prikolica i poluprikolica"
2920;"Proizvodnja karoserija za motorna vozila; proizvodnja prikolica i poluprikolica"
29200;"Proizvodnja karoserija za motorna vozila; proizvodnja prikolica i poluprikolica"
293;Proizvodnja dijelova i pribora za motorna vozila
2931;Proizvodnja električne i elektroničke opreme za motorna vozila
29310;Proizvodnja električne i elektroničke opreme za motorna vozila
2932;Proizvodnja ostalih dijelova i pribora za motorna vozila
29320;Proizvodnja ostalih dijelova i pribora za motorna vozila
30;Proizvodnja ostalih prijevoznih sredstava
301;Gradnja brodova i čamaca
3011;Gradnja civilnih brodova i plutajućih objekata
30110;Gradnja civilnih brodova i plutajućih objekata
3012;Gradnja čamaca za razonodu i sportskih čamaca
30120;Gradnja čamaca za razonodu i sportskih čamaca
3013;Gradnja vojnih brodova i plovila
30130;Gradnja vojnih brodova i plovila
302;Proizvodnja željezničkih lokomotiva i tračničkih vozila 
3020;Proizvodnja željezničkih lokomotiva i tračničkih vozila 
30200;Proizvodnja željezničkih lokomotiva i tračničkih vozila 
303;Proizvodnja zrakoplova i svemirskih letjelica te srodnih strojeva i opreme
3031;Proizvodnja civilnih zrakoplova i svemirskih letjelica te srodnih strojeva i opreme
30310;Proizvodnja civilnih zrakoplova i svemirskih letjelica te srodnih strojeva i opreme
3032;Proizvodnja vojnih zrakoplova i svemirskih letjelica te srodnih strojeva i opreme
30320;Proizvodnja vojnih zrakoplova i svemirskih letjelica te srodnih strojeva i opreme
304;Proizvodnja vojnih borbenih vozila
3040;Proizvodnja vojnih borbenih vozila
30400;Proizvodnja vojnih borbenih vozila
309;Proizvodnja prijevoznih sredstava, d. n.
3091;Proizvodnja motocikala
30910;Proizvodnja motocikala
3092;Proizvodnja bicikala i invalidskih kolica
30920;Proizvodnja bicikala i invalidskih kolica
3099;Proizvodnja ostalih prijevoznih sredstava, d. n.
30990;Proizvodnja ostalih prijevoznih sredstava, d. n.
31;Proizvodnja namještaja
310;Proizvodnja namještaja
3100;Proizvodnja namještaja
31001;Proizvodnja namještaja za poslovne i prodajne prostore
31002;Proizvodnja kuhinjskog namještaja
31003;Proizvodnja madraca
31009;Proizvodnja ostalog namještaja
32;Ostala prerađivačka industrija
321;Proizvodnja nakita, imitacije nakita (bižuterije) i srodnih proizvoda
3211;Proizvodnja kovanog novca
32110;Proizvodnja kovanog novca
3212;Proizvodnja nakita i srodnih proizvoda
32120;Proizvodnja nakita i srodnih proizvoda
3213;Proizvodnja imitacije nakita (bižuterije) i srodnih proizvoda
32130;Proizvodnja imitacije nakita (bižuterije) i srodnih proizvoda
322;Proizvodnja glazbenih instrumenata
3220;Proizvodnja glazbenih instrumenata
32200;Proizvodnja glazbenih instrumenata
323;Proizvodnja sportske opreme
3230;Proizvodnja sportske opreme
32300;Proizvodnja sportske opreme
324;Proizvodnja igara i igračaka
3240;Proizvodnja igara i igračaka
32400;Proizvodnja igara i igračaka
325;Proizvodnja medicinskih i stomatoloških instrumenata i pribora
3250;Proizvodnja medicinskih i stomatoloških instrumenata i pribora
32500;Proizvodnja medicinskih i stomatoloških instrumenata i pribora
329;Prerađivačka industrija, d. n.
3291;Proizvodnja metli i četki
32910;Proizvodnja metli i četki
3299;Ostala prerađivačka industrija, d. n.
32990;Ostala prerađivačka industrija, d. n.
33;Popravak, održavanje i instaliranje strojeva i opreme
331;Popravak i održavanje proizvoda od metala, strojeva i opreme
3311;Popravak i održavanje proizvoda od metala
33110;Popravak i održavanje proizvoda od metala
3312;Popravak i održavanje strojeva
33120;Popravak i održavanje strojeva
3313;Popravak i održavanje elektroničke i optičke opreme
33130;Popravak i održavanje elektroničke i optičke opreme
3314;Popravak i održavanje električne opreme
33140;Popravak i održavanje električne opreme
3315;Popravak i održavanje civilnih brodova i čamaca
33150;Popravak i održavanje civilnih brodova i čamaca
3316;Popravak i održavanje civilnih zrakoplova i svemirskih letjelica
33160;Popravak i održavanje civilnih zrakoplova i svemirskih letjelica
3317;Popravak i održavanje ostalih civilnih prijevoznih sredstava
33170;Popravak i održavanje ostalih civilnih prijevoznih sredstava
3318;Popravak i održavanje vojnih borbenih vozila, brodova, čamaca, zrakoplova i svemirskih letjelica
33180;Popravak i održavanje vojnih borbenih vozila, brodova, čamaca, zrakoplova i svemirskih letjelica
3319;Popravak i održavanje ostale opreme
33190;Popravak i održavanje ostale opreme
332;Instalacija industrijskih strojeva i opreme
3320;Instalacija industrijskih strojeva i opreme
33200;Instalacija industrijskih strojeva i opreme
D;OPSKRBA ELEKTRIČNOM ENERGIJOM, PLINOM, PAROM I KLIMATIZACIJA
35;Opskrba električnom energijom, plinom, parom i klimatizacija
351;Proizvodnja, prijenos i distribucija električne energije
3511;Proizvodnja električne energije iz neobnovljivih izvora
35110;Proizvodnja električne energije iz neobnovljivih izvora
3512;Proizvodnja električne energije iz obnovljivih izvora
35120;Proizvodnja električne energije iz obnovljivih izvora
3513;Prijenos električne energije
35130;Prijenos električne energije
3514;Distribucija električne energije
35140;Distribucija električne energije
3515;Trgovina električnom energijom
35150;Trgovina električnom energijom
3516;Skladištenje električne energije
35160;Skladištenje električne energije
352;Proizvodnja plina i distribucija plinovitih goriva distribucijskom mrežom
3521;Proizvodnja plina
35210;Proizvodnja plina
3522;Distribucija plinovitih goriva distribucijskom mrežom
35221;Djelatnosti distribucije plina distribucijskom mrežom
35222;Djelatnosti opskrbe plinom putem distribucijske mreže
35229;Djelatnosti distribucije ostalih plinovitih goriva distribucijskom mrežom
3523;Trgovina plinom distribucijskom mrežom
35230;Trgovina plinom distribucijskom mrežom
3524;Skladištenje plina kao dio usluge opskrbe putem mreže
35240;Skladištenje plina kao dio usluge opskrbe putem mreže
353;Opskrba parom i klimatizacija
3530;Opskrba parom i klimatizacija
35300;Opskrba parom i klimatizacija
354;Djelatnosti brokera i agenata za električnu energiju i plin
3540;Djelatnosti brokera i agenata za električnu energiju i plin
35400;Djelatnosti brokera i agenata za električnu energiju i plin
E;"OPSKRBA VODOM; UKLANJANJE OTPADNIH VODA, GOSPODARENJE OTPADOM TE DJELATNOSTI SANACIJE OKOLIŠA"
36;Zahvaćanje, pročišćavanje i opskrba vodom
360;Zahvaćanje, pročišćavanje i opskrba vodom
3600;Zahvaćanje, pročišćavanje i opskrba vodom
36000;Zahvaćanje, pročišćavanje i opskrba vodom
37;Obrada otpadnih voda
370;Obrada otpadnih voda
3700;Obrada otpadnih voda
37000;Obrada otpadnih voda
38;Sakupljanje, oporaba i zbrinjavanje otpada
381;Sakupljanje otpada
3811;Sakupljanje neopasnog otpada
38110;Sakupljanje neopasnog otpada
3812;Sakupljanje opasnog otpada
38120;Sakupljanje opasnog otpada
382;Oporaba otpada
3821;Oporaba materijala
38210;Oporaba materijala
3822;Oporaba energije
38220;Oporaba energije
3823;Ostala oporaba otpada
38230;Ostala oporaba otpada
383;Zbrinjavanje otpada bez oporabe
3831;Spaljivanje otpada bez dobivanja energije
38310;Spaljivanje otpada bez dobivanja energije
3832;Odlaganje ili trajno skladištenje otpada
38320;Odlaganje ili trajno skladištenje otpada
3833;Ostalo zbrinjavanje otpada
38330;Ostalo zbrinjavanje otpada
39;Djelatnosti sanacije okoliša i ostale djelatnosti gospodarenja otpadom
390;Djelatnosti sanacije okoliša i ostale djelatnosti gospodarenja otpadom
3900;Djelatnosti sanacije okoliša i ostale djelatnosti gospodarenja otpadom
39000;Djelatnosti sanacije okoliša i ostale djelatnosti gospodarenja otpadom
F;GRAĐEVINARSTVO
41;Građenje stambenih i nestambenih zgrada
410;Građenje stambenih i nestambenih zgrada
4100;Građenje stambenih i nestambenih zgrada
41000;Građenje stambenih i nestambenih zgrada
42;Građenje građevina niskogradnje
421;Građenje cesta i željezničkih pruga
4211;Građenje cesta i autocesta
42110;Građenje cesta i autocesta
4212;Građenje željezničkih pruga i podzemnih željeznica
42120;Građenje željezničkih pruga i podzemnih željeznica
4213;Građenje mostova i tunela
42130;Građenje mostova i tunela
422;Građenje cjevovoda, elektroenergetskih i telekomunikacijskih vodova
4221;Građenje cjevovoda za tekućine i plinove
42210;Građenje cjevovoda za tekućine i plinove
4222;Građenje elektroenergetskih i telekomunikacijskih vodova
42220;Građenje elektroenergetskih i telekomunikacijskih vodova
429;Građenje ostalih građevina niskogradnje
4291;Građenje vodnih građevina
42910;Građenje vodnih građevina
4299;Građenje ostalih građevina niskogradnje, d. n.
42990;Građenje ostalih građevina niskogradnje, d. n.
43;Specijalizirane građevinske djelatnosti
431;Uklanjanje građevina i pripremni radovi na gradilištu
4311;Uklanjanje građevina 
43110;Uklanjanje građevina 
4312;Pripremni radovi na gradilištu
43120;Pripremni radovi na gradilištu
4313;Pokusno bušenje i sondiranje terena za gradnju
43130;Pokusno bušenje i sondiranje terena za gradnju
432;Građevinski instalacijski radovi
4321;Elektroinstalacijski radovi 
43210;Elektroinstalacijski radovi 
4322;Uvođenje instalacija vodovoda, kanalizacije i plina te instalacija za grijanje i klimatizaciju
43220;Uvođenje instalacija vodovoda, kanalizacije i plina te instalacija za grijanje i klimatizaciju
4323;Radovi na postavljanju izolacije
43230;Radovi na postavljanju izolacije
4324;Ostali građevinski instalacijski radovi
43240;Ostali građevinski instalacijski radovi
433;Završni građevinski radovi
4331;Fasadni i štukaturski radovi
43310;Fasadni i štukaturski radovi
4332;Ugradnja stolarije
43320;Ugradnja stolarije
4333;Postavljanje podnih i zidnih obloga
43330;Postavljanje podnih i zidnih obloga
4334;Soboslikarski i staklarski radovi
43340;Soboslikarski i staklarski radovi
4335;Ostali završni građevinski radovi
43350;Ostali završni građevinski radovi
434;Specijalizirani građevinski radovi u gradnji zgrada
4341;Radovi na krovištu
43410;Radovi na krovištu
4342;Ostali specijalizirani građevinski radovi u gradnji zgrada
43420;Ostali specijalizirani građevinski radovi u gradnji zgrada
435;Specijalizirani građevinski radovi u niskogradnji
4350;Specijalizirani građevinski radovi u niskogradnji
43500;Specijalizirani građevinski radovi u niskogradnji
436;Usluge posredovanja u pružanju specijaliziranih građevinskih usluga
4360;Usluge posredovanja u pružanju specijaliziranih građevinskih usluga
43600;Usluge posredovanja u pružanju specijaliziranih građevinskih usluga
439;Ostale specijalizirane građevinske djelatnosti
4391;Zidarski radovi
43910;Zidarski radovi
4399;Ostale specijalizirane građevinske djelatnosti, d. n.
43990;Ostale specijalizirane građevinske djelatnosti, d. n.
G;TRGOVINA NA VELIKO I NA MALO
46;Trgovina na veliko
461;Trgovina na veliko uz naplatu ili na osnovi ugovora
4611;Posredovanje u trgovini na veliko poljoprivrednim sirovinama, živim životinjama, tekstilnim sirovinama i poluproizvodima
46110;Posredovanje u trgovini na veliko poljoprivrednim sirovinama, živim životinjama, tekstilnim sirovinama i poluproizvodima
4612;Posredovanje u trgovini na veliko gorivima, rudama, metalima i industrijskim kemikalijama
46120;Posredovanje u trgovini na veliko gorivima, rudama, metalima i industrijskim kemikalijama
4613;Posredovanje u trgovini na veliko drvom i građevinskim materijalom
46130;Posredovanje u trgovini na veliko drvom i građevinskim materijalom
4614;Posredovanje u trgovini na veliko strojevima, industrijskom opremom, brodovima i zrakoplovima
46140;Posredovanje u trgovini na veliko strojevima, industrijskom opremom, brodovima i zrakoplovima
4615;Posredovanje u trgovini na veliko namještajem, proizvodima za kućanstvo i željeznom robom
46150;Posredovanje u trgovini na veliko namještajem, proizvodima za kućanstvo i željeznom robom
4616;Posredovanje u trgovini na veliko tekstilom, odjećom, krznom, obućom i kožnim proizvodima
46160;Posredovanje u trgovini na veliko tekstilom, odjećom, krznom, obućom i kožnim proizvodima
4617;Posredovanje u trgovini na veliko hranom, pićima i duhanom
46170;Posredovanje u trgovini na veliko hranom, pićima i duhanom
4618;Posredovanje u trgovini na veliko ostalim određenim proizvodima
46180;Posredovanje u trgovini na veliko ostalim određenim proizvodima
4619;Posredovanje u  nespecijaliziranoj trgovini na veliko 
46190;Posredovanje u  nespecijaliziranoj trgovini na veliko 
462;Trgovina na veliko poljoprivrednim sirovinama i živim životinjama
4621;Trgovina na veliko žitaricama, sirovim duhanom, sjemenjem i stočnom hranom
46210;Trgovina na veliko žitaricama, sirovim duhanom, sjemenjem i stočnom hranom
4622;Trgovina na veliko cvijećem i sadnicama
46220;Trgovina na veliko cvijećem i sadnicama
4623;Trgovina na veliko živim životinjama
46230;Trgovina na veliko živim životinjama
4624;Trgovina na veliko sirovim i štavljenim kožama
46240;Trgovina na veliko sirovim i štavljenim kožama
463;Trgovina na veliko hranom, pićima i duhanom
4631;Trgovina na veliko voćem i povrćem
46310;Trgovina na veliko voćem i povrćem
4632;Trgovina na veliko mesom, mesnim proizvodima, ribom i ribljim proizvodima
46320;Trgovina na veliko mesom, mesnim proizvodima, ribom i ribljim proizvodima
4633;Trgovina na veliko mlijekom, mliječnim proizvodima, jajima, jestivim uljima i mastima
46330;Trgovina na veliko mlijekom, mliječnim proizvodima, jajima, jestivim uljima i mastima
4634;Trgovina na veliko pićima
46340;Trgovina na veliko pićima
4635;Trgovina na veliko duhanskim proizvodima
46350;Trgovina na veliko duhanskim proizvodima
4636;Trgovina na veliko šećerom, čokoladom i proizvodima od šećera
46360;Trgovina na veliko šećerom, čokoladom i proizvodima od šećera
4637;Trgovina na veliko kavom, čajem, kakaom i začinima
46370;Trgovina na veliko kavom, čajem, kakaom i začinima
4638;Trgovina na veliko ostalom hranom 
46380;Trgovina na veliko ostalom hranom 
4639;Nespecijalizirana trgovina na veliko hranom, pićima i duhanskim proizvodima
46390;Nespecijalizirana trgovina na veliko hranom, pićima i duhanskim proizvodima
464;Trgovina na veliko proizvodima za kućanstvo
4641;Trgovina na veliko tekstilom
46410;Trgovina na veliko tekstilom
4642;Trgovina na veliko odjećom i obućom
46420;Trgovina na veliko odjećom i obućom
4643;Trgovina na veliko električnim aparatima za kućanstvo
46430;Trgovina na veliko električnim aparatima za kućanstvo
4644;Trgovina na veliko porculanom, staklom i sredstvima za čišćenje
46440;Trgovina na veliko porculanom, staklom i sredstvima za čišćenje
4645;Trgovina na veliko parfemima i kozmetikom
46450;Trgovina na veliko parfemima i kozmetikom
4646;Trgovina na veliko farmaceutskim i medicinskim proizvodima
46460;Trgovina na veliko farmaceutskim i medicinskim proizvodima
4647;Trgovina na veliko namještajem za kućanstva, urede i trgovine, sagovima i opremom za rasvjetu
46470;Trgovina na veliko namještajem za kućanstva, urede i trgovine, sagovima i opremom za rasvjetu
4648;Trgovina na veliko satovima i nakitom
46480;Trgovina na veliko satovima i nakitom
4649;Trgovina na veliko ostalim proizvodima za kućanstvo
46490;Trgovina na veliko ostalim proizvodima za kućanstvo
465;Trgovina na veliko informacijsko-komunikacijskom opremom
4650;Trgovina na veliko informacijsko-komunikacijskom opremom
46500;Trgovina na veliko informacijsko-komunikacijskom opremom
466;Trgovina na veliko ostalim strojevima, opremom i priborom
4661;Trgovina na veliko poljoprivrednim strojevima, opremom i priborom
46610;Trgovina na veliko poljoprivrednim strojevima, opremom i priborom
4662;Trgovina na veliko alatnim strojevima
46620;Trgovina na veliko alatnim strojevima
4663;Trgovina na veliko strojevima za rudarstvo i građevinarstvo
46630;Trgovina na veliko strojevima za rudarstvo i građevinarstvo
4664;Trgovina na veliko ostalim strojevima i opremom
46640;Trgovina na veliko ostalim strojevima i opremom
467;Trgovina na veliko motornim vozilima, motociklima te njihovim dijelovima i priborom 
4671;Trgovina na veliko motornim vozilima
46710;Trgovina na veliko motornim vozilima
4672;Trgovina na veliko dijelovima i priborom za motorna vozila
46720;Trgovina na veliko dijelovima i priborom za motorna vozila
4673;Trgovina na veliko motociklima te dijelovima i priborom za motocikle
46730;Trgovina na veliko motociklima te dijelovima i priborom za motocikle
468;Ostala specijalizirana trgovina na veliko
4681;Trgovina na veliko krutim, tekućim i plinovitim gorivima i srodnim proizvodima
46810;Trgovina na veliko krutim, tekućim i plinovitim gorivima i srodnim proizvodima
4682;Trgovina na veliko metalima i metalnim rudama
46820;Trgovina na veliko metalima i metalnim rudama
4683;Trgovina na veliko drvom, građevinskim materijalom i sanitarnom opremom
46830;Trgovina na veliko drvom, građevinskim materijalom i sanitarnom opremom
4684;Trgovina na veliko željeznom robom, instalacijskim materijalom i opremom za vodovod i grijanje
46840;Trgovina na veliko željeznom robom, instalacijskim materijalom i opremom za vodovod i grijanje
4685;Trgovina na veliko kemijskim proizvodima
46850;Trgovina na veliko kemijskim proizvodima
4686;Trgovina na veliko ostalim poluproizvodima
46860;Trgovina na veliko ostalim poluproizvodima
4687;Trgovina na veliko ostacima i otpacima
46870;Trgovina na veliko ostacima i otpacima
4689;Ostala specijalizirana trgovina na veliko, d. n.
46890;Ostala specijalizirana trgovina na veliko, d. n.
469;Nespecijalizirana trgovina na veliko
4690;Nespecijalizirana trgovina na veliko
46900;Nespecijalizirana trgovina na veliko
47;Trgovina na malo
471;Nespecijalizirana trgovina na malo
4711;Nespecijalizirana trgovina na malo pretežno hranom, pićima i duhanskim proizvodima
47110;Nespecijalizirana trgovina na malo pretežno hranom, pićima i duhanskim proizvodima
4712;Ostala nespecijalizirana trgovina na malo
47120;Ostala nespecijalizirana trgovina na malo
472;Trgovina na malo hranom, pićima i duhanskim proizvodima
4721;Trgovina na malo voćem i povrćem
47210;Trgovina na malo voćem i povrćem
4722;Trgovina na malo mesom i mesnim proizvodima
47220;Trgovina na malo mesom i mesnim proizvodima
4723;Trgovina na malo ribama, rakovima i mekušcima
47230;Trgovina na malo ribama, rakovima i mekušcima
4724;Trgovina na malo kruhom, kolačima i slatkim proizvodima
47240;Trgovina na malo kruhom, kolačima i slatkim proizvodima
4725;Trgovina na malo pićima 
47250;Trgovina na malo pićima 
4726;Trgovina na malo duhanskim proizvodima
47260;Trgovina na malo duhanskim proizvodima
4727;Trgovina na malo ostalim prehrambenim proizvodima
47270;Trgovina na malo ostalim prehrambenim proizvodima
473;Trgovina na malo motornim gorivima i mazivima 
4730;Trgovina na malo motornim gorivima i mazivima 
47300;Trgovina na malo motornim gorivima i mazivima 
474;Trgovina na malo informacijsko-komunikacijskom opremom
4740;Trgovina na malo informacijsko-komunikacijskom opremom
47400;Trgovina na malo informacijsko-komunikacijskom opremom
475;Trgovina na malo ostalom opremom za kućanstvo
4751;Trgovina na malo tekstilom
47510;Trgovina na malo tekstilom
4752;Trgovina na malo željeznom robom, građevinskim materijalom, bojama i staklom 
47520;Trgovina na malo željeznom robom, građevinskim materijalom, bojama i staklom 
4753;Trgovina na malo sagovima, prostirkama za pod, zidnim i podnim oblogama
47530;Trgovina na malo sagovima, prostirkama za pod, zidnim i podnim oblogama
4754;Trgovina na malo električnim aparatima za kućanstvo
47540;Trgovina na malo električnim aparatima za kućanstvo
4755;Trgovina na malo namještajem, opremom za rasvjetu, stolnim posuđem i ostalim proizvodima za kućanstvo
47550;Trgovina na malo namještajem, opremom za rasvjetu, stolnim posuđem i ostalim proizvodima za kućanstvo
476;Trgovina na malo proizvodima za kulturu i rekreaciju
4761;Trgovina na malo knjigama
47610;Trgovina na malo knjigama
4762;Trgovina na malo novinama i ostalim periodičnim publikacijama te papirnatom robom i pisaćim priborom
47620;Trgovina na malo novinama i ostalim periodičnim publikacijama te papirnatom robom i pisaćim priborom
4763;Trgovina na malo sportskom opremom
47630;Trgovina na malo sportskom opremom
4764;Trgovina na malo igrama i igračkama
47640;Trgovina na malo igrama i igračkama
4769;Trgovina na malo proizvodima za kulturu i rekreaciju, d. n.
47690;Trgovina na malo proizvodima za kulturu i rekreaciju, d. n.
477;Trgovina na malo ostalom robom, osim motornim vozilima i motociklima
4771;Trgovina na malo odjećom
47710;Trgovina na malo odjećom
4772;Trgovina na malo obućom i proizvodima od kože 
47720;Trgovina na malo obućom i proizvodima od kože 
4773;Trgovina na malo farmaceutskim proizvodima
47730;Trgovina na malo farmaceutskim proizvodima
4774;Trgovina na malo medicinskim i ortopedskim proizvodima
47741;Trgovina na malo naočalama
47749;Trgovina na malo ostalim medicinskim i ortopedskim proizvodima
4775;Trgovina na malo kozmetičkim i toaletnim proizvodima
47750;Trgovina na malo kozmetičkim i toaletnim proizvodima
4776;Trgovina na malo cvijećem, sadnicama, gnojivom, kućnim ljubimcima i hranom za kućne ljubimce
47761;Trgovina na malo cvijećem
47762;Trgovina na malo sadnicama i gnojivom
47763;Trgovina na malo kućnim ljubimcima i hranom za kućne ljubimce
4777;Trgovina na malo satovima i nakitom
47770;Trgovina na malo satovima i nakitom
4778;Trgovina na malo ostalom novom robom
47780;Trgovina na malo ostalom novom robom
4779;Trgovina na malo rabljenom robom
47790;Trgovina na malo rabljenom robom
478;Trgovina na malo motornim vozilima, motociklima te njihovim dijelovima i priborom
4781;Trgovina na malo motornim vozilima
47810;Trgovina na malo motornim vozilima
4782;Trgovina na malo dijelovima i priborom za motorna vozila
47820;Trgovina na malo dijelovima i priborom za motorna vozila
4783;Trgovina na malo motociklima, njihovim dijelovima i priborom
47830;Trgovina na malo motociklima, njihovim dijelovima i priborom
479;Uslužne djelatnosti posredovanja u trgovini na malo
4791;Uslužne djelatnosti posredovanja u nespecijaliziranoj trgovini na malo
47910;Uslužne djelatnosti posredovanja u nespecijaliziranoj trgovini na malo
4792;Uslužne djelatnosti posredovanja u specijaliziranoj trgovini na malo
47920;Uslužne djelatnosti posredovanja u specijaliziranoj trgovini na malo
H;PRIJEVOZ I SKLADIŠTENJE
49;Kopneni prijevoz i cjevovodni transport
491;Željeznički prijevoz putnika
4911;Prijevoz putnika nacionalnom i međunarodnom željeznicom
49110;Prijevoz putnika nacionalnom i međunarodnom željeznicom
4912;Ostali željeznički prijevoz putnika
49120;Ostali željeznički prijevoz putnika
492;Željeznički prijevoz robe
4920;Željeznički prijevoz robe
49200;Željeznički prijevoz robe
493;Ostali kopneni prijevoz putnika
4931;Linijski cestovni prijevoz putnika
49310;Linijski cestovni prijevoz putnika
4932;Povremeni cestovni prijevoz putnika
49320;Povremeni cestovni prijevoz putnika
4933;Uslužne djelatnosti prijevoza putnika vozilom s vozačem na zahtjev
49330;Uslužne djelatnosti prijevoza putnika vozilom s vozačem na zahtjev
4934;Prijevoz putnika žičarom i vučnicom
49340;Prijevoz putnika žičarom i vučnicom
4939;Ostali kopneni prijevoz putnika, d. n.
49390;Ostali kopneni prijevoz putnika, d. n.
494;Cestovni prijevoz robe i usluge preseljenja
4941;Cestovni prijevoz robe
49410;Cestovni prijevoz robe
4942;Usluge preseljenja
49420;Usluge preseljenja
495;Cjevovodni transport
4950;Cjevovodni transport
49500;Cjevovodni transport
50;Vodni prijevoz
501;Pomorski i obalni prijevoz putnika
5010;Pomorski i obalni prijevoz putnika
50101;Prijevoz putnika na plovilima za kružna putovanja i izlete
50109;Ostali pomorski i obalni prijevoz putnika
502;Pomorski i obalni prijevoz robe
5020;Pomorski i obalni prijevoz robe
50200;Pomorski i obalni prijevoz robe
503;Prijevoz putnika unutarnjim vodnim putovima
5030;Prijevoz putnika unutarnjim vodnim putovima
50300;Prijevoz putnika unutarnjim vodnim putovima
504;Prijevoz robe unutarnjim vodnim putovima
5040;Prijevoz robe unutarnjim vodnim putovima
50400;Prijevoz robe unutarnjim vodnim putovima
51;Zračni prijevoz
511;Zračni prijevoz putnika
5110;Zračni prijevoz putnika
51100;Zračni prijevoz putnika
512;Zračni prijevoz robe i svemirski prijevoz
5121;Zračni prijevoz robe
51210;Zračni prijevoz robe
5122;Svemirski prijevoz
51220;Svemirski prijevoz
52;Skladištenje i prateće djelatnosti u prijevozu
521;Skladištenje robe
5210;Skladištenje robe
52100;Skladištenje robe
522;Prateće djelatnosti u prijevozu
5221;Uslužne djelatnosti u vezi s kopnenim prijevozom
52210;Uslužne djelatnosti u vezi s kopnenim prijevozom
5222;Uslužne djelatnosti u vezi s vodnim prijevozom
52220;Uslužne djelatnosti u vezi s vodnim prijevozom
5223;Uslužne djelatnosti u vezi sa zračnim prijevozom
52230;Uslužne djelatnosti u vezi sa zračnim prijevozom
5224;Prekrcaj tereta
52240;Prekrcaj tereta
5225;Uslužne djelatnosti u logistici
52250;Uslužne djelatnosti u logistici
5226;Ostale prateće djelatnosti u prijevozu
52260;Ostale prateće djelatnosti u prijevozu
523;Uslužne djelatnosti posredovanja u prijevozu
5231;Uslužne djelatnosti posredovanja u prijevozu robe
52310;Uslužne djelatnosti posredovanja u prijevozu robe
5232;Uslužne djelatnosti posredovanja u prijevozu putnika
52320;Uslužne djelatnosti posredovanja u prijevozu putnika
53;Poštanske i kurirske djelatnosti
